#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 05 29 00 50 337 10.0 11.8  2.96 12.90  6.77 999 1022.4  10.7  11.3 999.0 99.0 99.00
2011 05 29 01 50 318  9.7 12.3  2.99 12.90  6.91 999 1022.5  10.7  11.3 999.0 99.0 99.00
2011 05 29 02 50 322 10.0 11.7  3.18 12.12  6.97 999 1022.5  10.6  11.3 999.0 99.0 99.00
2011 05 29 03 50 313 10.1 12.1  2.99 12.12  6.84 999 1022.9  10.5  11.3 999.0 99.0 99.00
2011 05 29 04 50 316  9.8 12.1  2.86 12.12  6.73 999 1023.1  10.5  11.3 999.0 99.0 99.00
2011 05 29 05 50 318  9.4 10.7  2.75 12.90  6.77 999 1023.3  10.4  11.2 999.0 99.0 99.00
2011 05 29 06 50 319  8.5  9.8  2.51 12.90  6.57 999 1023.7  10.5  11.2 999.0 99.0 99.00
2011 05 29 07 50 319  8.4 10.0  2.66 12.12  6.55 999 1023.7  10.5  11.2 999.0 99.0 99.00
2011 05 29 08 50 322  7.9  9.6  2.54 12.90  6.70 999 1023.8  10.4  11.2 999.0 99.0 99.00
2011 05 29 09 50 321  6.3  7.6  2.72 12.90  7.19 999 1023.8  10.4  11.2 999.0 99.0 99.00
2011 05 29 10 50 288  5.3  6.6  2.57 12.12  7.16 999 1023.5  10.3  11.2 999.0 99.0 99.00
2011 05 29 11 50 252  6.0  7.5  2.36 10.81  6.72 999 1023.4  10.3  11.2 999.0 99.0 99.00
2011 05 29 12 50 266  6.6  7.8  2.53 10.81  6.98 999 1024.1  10.2  11.2 999.0 99.0 99.00
2011 05 29 13 50 323  4.9  6.2  2.47 11.43  6.88 999 1024.2  10.3  11.2 999.0 99.0 99.00
2011 05 29 14 50 317  5.2  6.4  2.55 12.12  7.40 999 1023.7  10.4  11.2 999.0 99.0 99.00
2011 05 29 15 50 293  7.0  8.3  2.54 12.12  7.59 999 1024.0  10.4  11.2 999.0 99.0 99.00
2011 05 29 16 50 292  5.8  7.1  2.49 12.12  7.53 999 1023.4  10.2  11.2 999.0 99.0 99.00
2011 05 29 17 50 277  5.3  6.5  2.34 11.43  7.30 999 1023.0  10.1  11.3 999.0 99.0 99.00
2011 05 29 18 50 266  6.7  8.0  2.33 12.12  7.32 999 1023.1  10.2  11.3 999.0 99.0 99.00
2011 05 29 19 50 261  6.8  8.4  2.17 11.43  7.00 999 1023.1  10.2  11.3 999.0 99.0 99.00
2011 05 29 20 50 260  6.8  8.5  2.02 12.12  6.65 999 1022.7  10.2  11.4 999.0 99.0 99.00
2011 05 29 21 50 257  7.4  8.7  2.11 11.43  6.85 999 1022.2  10.4  11.4 999.0 99.0 99.00
2011 05 29 22 50 246  7.3  8.9  2.11 11.43  6.87 999 1021.6  10.6  11.4 999.0 99.0 99.00
2011 05 29 23 50 239  8.5 10.3  2.17 11.43  6.75 999 1020.5  10.7  11.4 999.0 99.0 99.00
