YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 230  9.6 11.7 99.00 99.00 99.00 999  994.6  12.8  13.6 999.0 99.0 99.00
2006 01 01 01 00 223  8.6 10.4 99.00 99.00 99.00 999  994.3  11.5  13.5 999.0 99.0 99.00
2006 01 01 02 00 216 11.9 14.5 99.00 99.00 99.00 999  993.0  11.8  13.5 999.0 99.0 99.00
2006 01 01 03 00 209 12.3 15.2 99.00 99.00 99.00 999  990.7  11.8  13.6 999.0 99.0 99.00
2006 01 01 04 00 200 14.8 19.4 99.00 99.00 99.00 999  988.2  12.8  13.6 999.0 99.0 99.00
2006 01 01 05 00 197 17.0 22.3 99.00 99.00 99.00 999  985.3  12.9  13.6 999.0 99.0 99.00
2006 01 01 06 00 206 20.1 26.2 99.00 99.00 99.00 999  982.7  13.6  13.6 999.0 99.0 99.00
2006 01 01 07 00 217 21.2 38.9 99.00 99.00 99.00 999  980.7  11.6  13.6 999.0 99.0 99.00
2006 01 01 08 00 228 13.4 15.9 99.00 99.00 99.00 999  979.8  10.5  13.4 999.0 99.0 99.00
2006 01 01 09 00 228 14.9 18.7 99.00 99.00 99.00 999  977.1  13.3  13.4 999.0 99.0 99.00
2006 01 01 10 00 233 15.3 19.8 99.00 99.00 99.00 999  975.7  13.3  13.4 999.0 99.0 99.00
2006 01 01 11 00 245 16.2 20.3 99.00 99.00 99.00 999  974.4  12.0  13.4 999.0 99.0 99.00
2006 01 01 12 00 248 18.6 24.0 99.00 99.00 99.00 999  974.4  11.8  13.4 999.0 99.0 99.00
2006 01 01 13 00 274 20.5 26.3 99.00 99.00 99.00 999  978.1  11.1  13.4 999.0 99.0 99.00
2006 01 01 14 00 284 19.8 24.9 99.00 99.00 99.00 999  980.9  11.8  13.4 999.0 99.0 99.00
2006 01 01 15 00 288 17.4 24.0 99.00 99.00 99.00 999  982.9  11.5  13.4 999.0 99.0 99.00
2006 01 01 16 00 288 16.0 19.9 99.00 99.00 99.00 999  984.4  11.7  13.3 999.0 99.0 99.00
2006 01 01 17 00 291 16.3 21.5 99.00 99.00 99.00 999  986.2  12.1  12.9 999.0 99.0 99.00
