YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 18 00 287 13.6 17.4 99.00 99.00 99.00 999  987.8  11.8  12.9 999.0 99.0 99.00
2006 01 01 19 00 286 12.1 15.5 99.00 99.00 99.00 999  989.0  11.8  12.9 999.0 99.0 99.00
2006 01 01 20 00 278 10.9 13.9 99.00 99.00 99.00 999  989.4  11.7  12.9 999.0 99.0 99.00
2006 01 01 21 00 277  8.3 11.6 99.00 99.00 99.00 999  989.4  11.7  12.9 999.0 99.0 99.00
2006 01 01 22 00 253  7.7 10.5 99.00 99.00 99.00 999  989.7  11.8  12.9 999.0 99.0 99.00
2006 01 01 23 00 241  6.8  9.4 99.00 99.00 99.00 999  990.0  11.7  12.9 999.0 99.0 99.00
2006 01 02 00 00 248  7.1 10.0 99.00 99.00 99.00 999  990.8  11.4  12.9 999.0 99.0 99.00
2006 01 02 01 00 259  5.8  7.5 99.00 99.00 99.00 999  991.7  11.3  13.3 999.0 99.0 99.00
2006 01 02 02 00 268  6.8  8.6 99.00 99.00 99.00 999  992.4  11.3  13.3 999.0 99.0 99.00
2006 01 02 03 00 280  7.3  9.9 99.00 99.00 99.00 999  993.2  11.0  13.3 999.0 99.0 99.00
2006 01 02 04 00 285  8.0 10.4 99.00 99.00 99.00 999  994.2  11.0  13.3 999.0 99.0 99.00
2006 01 02 05 00 296  6.3  8.1 99.00 99.00 99.00 999  995.2  11.0  13.3 999.0 99.0 99.00
2006 01 02 06 00 310  6.7  9.5 99.00 99.00 99.00 999  996.2  10.7  13.3 999.0 99.0 99.00
2006 01 02 07 00 308  6.4  8.5 99.00 99.00 99.00 999  997.2  10.9  13.0 999.0 99.0 99.00
2006 01 02 08 00 309  6.2  7.9 99.00 99.00 99.00 999  998.1  11.0  12.9 999.0 99.0 99.00
2006 01 02 09 00 299  9.3 13.7 99.00 99.00 99.00 999  998.7  10.4  12.9 999.0 99.0 99.00
2006 01 02 10 00 305  5.6  7.6 99.00 99.00 99.00 999  999.3  10.6  12.9 999.0 99.0 99.00
2006 01 02 11 00 303  7.0  9.1 99.00 99.00 99.00 999 1000.3  10.6  12.9 999.0 99.0 99.00
2006 01 02 12 00 302  9.1 12.5 99.00 99.00 99.00 999 1001.1  10.6  12.9 999.0 99.0 99.00
2006 01 02 13 00 312  6.8  9.2 99.00 99.00 99.00 999 1001.8   9.8  12.9 999.0 99.0 99.00
2006 01 02 14 00 308  4.9  7.0 99.00 99.00 99.00 999 1002.4   9.9  12.9 999.0 99.0 99.00
2006 01 02 15 00 293  7.8 10.7 99.00 99.00 99.00 999 1003.1  10.5  12.9 999.0 99.0 99.00
2006 01 02 16 00 298  5.2  7.5 99.00 99.00 99.00 999 1003.6  10.5  12.9 999.0 99.0 99.00
2006 01 02 17 00 288  4.6  6.4 99.00 99.00 99.00 999 1004.1  10.5  12.9 999.0 99.0 99.00
2006 01 02 18 00 280  3.8  5.4 99.00 99.00 99.00 999 1005.1  10.5  12.9 999.0 99.0 99.00
2006 01 02 19 00 260  5.0  7.2 99.00 99.00 99.00 999 1005.7  11.0  12.9 999.0 99.0 99.00
2006 01 02 20 00 258  3.8  6.0 99.00 99.00 99.00 999 1005.5  11.0  12.9 999.0 99.0 99.00
2006 01 02 21 00 245  6.4  8.7 99.00 99.00 99.00 999 1004.7  11.3  12.9 999.0 99.0 99.00
2006 01 02 22 00 233  7.6  9.2 99.00 99.00 99.00 999 1003.9  11.4  12.9 999.0 99.0 99.00
2006 01 02 23 00 225  8.2  9.9 99.00 99.00 99.00 999 1003.3  11.4  12.9 999.0 99.0 99.00
2006 01 03 00 00 228 10.3 12.9 99.00 99.00 99.00 999 1002.7  11.4  12.9 999.0 99.0 99.00
2006 01 03 01 00 224 12.0 15.2 99.00 99.00 99.00 999 1002.6  11.8  12.9 999.0 99.0 99.00
2006 01 03 02 00 225 12.0 14.7 99.00 99.00 99.00 999 1001.9  11.8  12.9 999.0 99.0 99.00
2006 01 03 03 00 225 13.7 17.0 99.00 99.00 99.00 999 1000.5  12.2  12.9 999.0 99.0 99.00
2006 01 03 04 00 222 15.6 19.1 99.00 99.00 99.00 999  999.6  11.8  12.9 999.0 99.0 99.00
2006 01 03 05 00 209 16.0 19.2 99.00 99.00 99.00 999  998.2  11.6  12.9 999.0 99.0 99.00
2006 01 03 06 00 200 15.2 18.4 99.00 99.00 99.00 999  996.9  11.8  12.9 999.0 99.0 99.00
2006 01 03 07 00 215  8.9 10.6 99.00 99.00 99.00 999  996.9   9.5  12.9 999.0 99.0 99.00
2006 01 03 08 00 215 10.4 12.8 99.00 99.00 99.00 999  997.3  10.6  12.9 999.0 99.0 99.00
2006 01 03 09 00 207 10.6 12.7 99.00 99.00 99.00 999  996.9  11.0  12.9 999.0 99.0 99.00
2006 01 03 10 00 228 11.5 14.4 99.00 99.00 99.00 999  997.0  12.2  12.9 999.0 99.0 99.00
2006 01 03 11 00 235 11.0 13.7 99.00 99.00 99.00 999  997.2  12.2  12.9 999.0 99.0 99.00
2006 01 03 12 00 240 11.5 14.4 99.00 99.00 99.00 999  998.3  12.1  12.9 999.0 99.0 99.00
2006 01 03 13 00 246 12.5 15.7 99.00 99.00 99.00 999  998.9  12.1  12.9 999.0 99.0 99.00
2006 01 03 14 00 255 11.8 13.8 99.00 99.00 99.00 999  999.9  12.1  12.9 999.0 99.0 99.00
2006 01 03 15 00 263 10.3 12.7 99.00 99.00 99.00 999 1001.0  11.4  12.9 999.0 99.0 99.00
2006 01 03 16 00 259 11.9 15.2 99.00 99.00 99.00 999 1002.2  11.7  12.9 999.0 99.0 99.00
2006 01 03 17 00 264 10.9 14.0 99.00 99.00 99.00 999 1003.9  10.9  12.9 999.0 99.0 99.00
2006 01 03 18 00 274 11.0 14.0 99.00 99.00 99.00 999 1005.2  11.3  12.9 999.0 99.0 99.00
2006 01 03 19 00 269 12.1 14.6 99.00 99.00 99.00 999 1006.5  11.1  12.9 999.0 99.0 99.00
2006 01 03 20 00 270 11.7 15.6 99.00 99.00 99.00 999 1007.8  11.7  12.9 999.0 99.0 99.00
2006 01 03 21 00 259 10.6 15.0 99.00 99.00 99.00 999 1008.6  10.2  12.8 999.0 99.0 99.00
2006 01 03 22 00 256 10.0 13.0 99.00 99.00 99.00 999 1009.1  11.4  12.8 999.0 99.0 99.00
2006 01 03 23 00 262  7.5 10.2 99.00 99.00 99.00 999 1010.0  11.8  12.8 999.0 99.0 99.00
2006 01 04 00 00 246  8.8 11.7 99.00 99.00 99.00 999 1011.4  11.8  12.8 999.0 99.0 99.00
2006 01 04 01 00 235  9.8 11.7 99.00 99.00 99.00 999 1012.0  12.0  12.8 999.0 99.0 99.00
2006 01 04 02 00 222 10.2 12.6 99.00 99.00 99.00 999 1012.7  12.1  12.8 999.0 99.0 99.00
2006 01 04 03 00 222  9.0 11.3 99.00 99.00 99.00 999 1013.4  12.1  12.8 999.0 99.0 99.00
2006 01 04 04 00 211  9.9 12.3 99.00 99.00 99.00 999 1013.5  12.2  12.8 999.0 99.0 99.00
2006 01 04 05 00 224 10.9 12.7 99.00 99.00 99.00 999 1013.8  12.5  12.8 999.0 99.0 99.00
2006 01 04 06 00 211 10.9 13.2 99.00 99.00 99.00 999 1014.1  12.6  12.8 999.0 99.0 99.00
2006 01 04 07 00 207 10.3 12.2 99.00 99.00 99.00 999 1014.2  12.8  12.8 999.0 99.0 99.00
2006 01 04 08 00 202 10.0 12.3 99.00 99.00 99.00 999 1014.3  12.9  12.7 999.0 99.0 99.00
2006 01 04 09 00 194 11.4 13.8 99.00 99.00 99.00 999 1013.9  12.9  12.6 999.0 99.0 99.00
2006 01 04 10 00 178 11.5 15.9 99.00 99.00 99.00 999 1012.9  12.9  12.6 999.0 99.0 99.00
2006 01 04 11 00 180 13.2 17.4 99.00 99.00 99.00 999 1011.8  13.3  12.6 999.0 99.0 99.00
2006 01 04 12 00 187 14.9 19.7 99.00 99.00 99.00 999 1010.7  13.3  12.6 999.0 99.0 99.00
2006 01 04 13 00 186 15.4 19.4 99.00 99.00 99.00 999 1009.2  13.3  12.6 999.0 99.0 99.00
2006 01 04 14 00 191 15.6 20.7 99.00 99.00 99.00 999 1008.2  13.4  12.6 999.0 99.0 99.00
2006 01 04 15 00 186 16.4 20.2 99.00 99.00 99.00 999 1007.2  13.0  12.6 999.0 99.0 99.00
2006 01 04 16 00 185 16.6 21.4 99.00 99.00 99.00 999 1006.4  13.6  12.6 999.0 99.0 99.00
2006 01 04 17 00 185 16.9 22.4 99.00 99.00 99.00 999 1005.9  14.1  12.6 999.0 99.0 99.00
2006 01 04 18 00 182 17.6 22.8 99.00 99.00 99.00 999 1004.9  14.2  12.5 999.0 99.0 99.00
2006 01 04 19 00 190 18.2 23.5 99.00 99.00 99.00 999 1004.1  14.1  12.5 999.0 99.0 99.00
2006 01 04 20 00 193 18.6 27.2 99.00 99.00 99.00 999 1003.6  14.1  12.5 999.0 99.0 99.00
2006 01 04 21 00 195 17.8 23.1 99.00 99.00 99.00 999 1002.4  14.5  12.3 999.0 99.0 99.00
2006 01 04 22 00 188 19.8 23.9 99.00 99.00 99.00 999 1000.6  14.9  12.5 999.0 99.0 99.00
2006 01 04 23 00 191 18.4 23.2 99.00 99.00 99.00 999 1000.6  14.9  12.5 999.0 99.0 99.00
2006 01 05 00 00 194 20.1 25.6 99.00 99.00 99.00 999 1000.6  15.2  12.5 999.0 99.0 99.00
2006 01 05 01 00 198 18.1 22.7 99.00 99.00 99.00 999 1001.4  14.9  12.5 999.0 99.0 99.00
2006 01 05 02 00 210 17.4 21.5 99.00 99.00 99.00 999 1002.1  14.9  12.5 999.0 99.0 99.00
2006 01 05 03 00 213 17.2 22.0 99.00 99.00 99.00 999 1002.6  14.9  12.5 999.0 99.0 99.00
2006 01 05 04 00 226 15.6 20.2 99.00 99.00 99.00 999 1003.9  14.9  12.5 999.0 99.0 99.00
2006 01 05 05 00 232 15.7 19.0 99.00 99.00 99.00 999 1004.3  14.9  12.5 999.0 99.0 99.00
2006 01 05 06 00 252 12.5 16.7 99.00 99.00 99.00 999 1006.1  13.6  12.5 999.0 99.0 99.00
2006 01 05 07 00 262 11.5 14.2 99.00 99.00 99.00 999 1007.5  13.6  12.5 999.0 99.0 99.00
2006 01 05 08 00 272 10.3 13.7 99.00 99.00 99.00 999 1009.3  13.6  12.2 999.0 99.0 99.00
2006 01 05 09 00 278 10.1 13.6 99.00 99.00 99.00 999 1010.5  13.3  12.2 999.0 99.0 99.00
2006 01 05 10 00 287  7.1  9.9 99.00 99.00 99.00 999 1011.8  12.8  12.2 999.0 99.0 99.00
2006 01 05 11 00 274  5.1  8.0 99.00 99.00 99.00 999 1013.0  12.6  12.2 999.0 99.0 99.00
2006 01 05 12 00 243  2.1  4.4 99.00 99.00 99.00 999 1013.2  12.6  12.2 999.0 99.0 99.00
2006 01 05 13 00 153  1.0  3.4 99.00 99.00 99.00 999 1013.4  12.5  12.2 999.0 99.0 99.00
2006 01 05 14 00 186  1.2  2.9 99.00 99.00 99.00 999 1013.8  12.1  12.2 999.0 99.0 99.00
2006 01 05 15 00 153  2.1  4.2 99.00 99.00 99.00 999 1014.4  12.2  12.2 999.0 99.0 99.00
2006 01 05 16 00 130  4.6  7.5 99.00 99.00 99.00 999 1014.3  12.5  12.2 999.0 99.0 99.00
2006 01 05 17 00 135  5.9  8.0 99.00 99.00 99.00 999 1013.9  12.2  12.2 999.0 99.0 99.00
2006 01 05 18 00 135  6.8 10.2 99.00 99.00 99.00 999 1014.5  11.4  12.2 999.0 99.0 99.00
2006 01 05 19 00 119  7.2  9.6 99.00 99.00 99.00 999 1013.4  11.4  12.2 999.0 99.0 99.00
2006 01 05 20 00 142  5.9  8.0 99.00 99.00 99.00 999 1012.4  11.8  12.2 999.0 99.0 99.00
2006 01 05 21 00 162  5.1  7.2 99.00 99.00 99.00 999 1010.8  12.1  12.2 999.0 99.0 99.00
2006 01 05 22 00 214  6.7  8.6 99.00 99.00 99.00 999 1009.4  13.3  12.2 999.0 99.0 99.00
2006 01 05 23 00 219  9.7 12.5 99.00 99.00 99.00 999 1009.0  13.4  12.2 999.0 99.0 99.00
2006 01 06 00 00 227 10.8 13.8 99.00 99.00 99.00 999 1009.5  13.6  12.1 999.0 99.0 99.00
2006 01 06 01 00 228  9.9 12.0 99.00 99.00 99.00 999 1010.0  13.6  12.1 999.0 99.0 99.00
2006 01 06 02 00 242  9.7 12.1 99.00 99.00 99.00 999 1010.6  13.7  12.1 999.0 99.0 99.00
2006 01 06 03 00 241  9.1 11.1 99.00 99.00 99.00 999 1011.3  13.6  12.1 999.0 99.0 99.00
2006 01 06 04 00 254  7.7  9.9 99.00 99.00 99.00 999 1011.6  13.4  12.1 999.0 99.0 99.00
2006 01 06 05 00 273  5.5  7.4 99.00 99.00 99.00 999 1011.7  13.4  12.1 999.0 99.0 99.00
2006 01 06 06 00 272  7.5  9.1 99.00 99.00 99.00 999 1011.8  13.4  12.1 999.0 99.0 99.00
2006 01 06 07 00 270  7.9  9.7 99.00 99.00 99.00 999 1012.2  13.4  12.1 999.0 99.0 99.00
2006 01 06 08 00 219  7.5  9.2 99.00 99.00 99.00 999 1012.5  13.4  12.1 999.0 99.0 99.00
2006 01 06 09 00 184  7.1  8.8 99.00 99.00 99.00 999 1011.8  13.5  12.1 999.0 99.0 99.00
2006 01 06 10 00 180  7.1  8.6 99.00 99.00 99.00 999 1011.9  13.4  12.1 999.0 99.0 99.00
2006 01 06 11 00 188  7.6  9.4 99.00 99.00 99.00 999 1012.1  13.4  12.1 999.0 99.0 99.00
2006 01 06 12 00 195  6.1  7.8 99.00 99.00 99.00 999 1011.9  13.3  12.1 999.0 99.0 99.00
2006 01 06 13 00 197  5.8  7.3 99.00 99.00 99.00 999 1011.6  12.9  12.1 999.0 99.0 99.00
2006 01 06 14 00 211  5.7  6.9 99.00 99.00 99.00 999 1011.6  12.9  12.1 999.0 99.0 99.00
2006 01 06 15 00 219  4.8  6.1 99.00 99.00 99.00 999 1011.7  12.9  12.1 999.0 99.0 99.00
2006 01 06 16 00 236  5.0  6.3 99.00 99.00 99.00 999 1011.9  12.9  12.1 999.0 99.0 99.00
2006 01 06 17 00 253  4.5  6.3 99.00 99.00 99.00 999 1012.5  12.8  12.1 999.0 99.0 99.00
2006 01 06 18 00 267  4.3  5.5 99.00 99.00 99.00 999 1013.2  12.8  12.1 999.0 99.0 99.00
2006 01 06 19 00 285  3.3  4.3 99.00 99.00 99.00 999 1013.6  12.9  12.1 999.0 99.0 99.00
2006 01 06 20 00 302  4.1  5.5 99.00 99.00 99.00 999 1013.4  12.9  12.2 999.0 99.0 99.00
2006 01 06 21 00 313  4.6  6.2 99.00 99.00 99.00 999 1012.9  12.9  12.1 999.0 99.0 99.00
2006 01 06 22 00 329  5.0  6.2 99.00 99.00 99.00 999 1012.2  12.8  12.1 999.0 99.0 99.00
2006 01 06 23 00 336  4.4  5.7 99.00 99.00 99.00 999 1011.8  12.6  12.1 999.0 99.0 99.00
2006 01 07 00 00 330  4.8  6.4 99.00 99.00 99.00 999 1011.7  12.6  12.1 999.0 99.0 99.00
2006 01 07 01 00 325  6.6  8.3 99.00 99.00 99.00 999 1012.0  12.1  12.1 999.0 99.0 99.00
2006 01 07 02 00 312  7.3  9.4 99.00 99.00 99.00 999 1012.5  11.7  12.0 999.0 99.0 99.00
2006 01 07 03 00 315  9.6 12.1 99.00 99.00 99.00 999 1012.7  11.3  11.9 999.0 99.0 99.00
2006 01 07 04 00 299  9.6 11.1 99.00 99.00 99.00 999 1013.2  10.5  11.9 999.0 99.0 99.00
2006 01 07 05 00 296  8.0  9.8 99.00 99.00 99.00 999 1013.3  10.5  11.9 999.0 99.0 99.00
2006 01 07 06 00 287  8.4 11.3 99.00 99.00 99.00 999 1013.3  11.0  12.0 999.0 99.0 99.00
2006 01 07 07 00 277  8.1 10.0 99.00 99.00 99.00 999 1013.2  11.0  12.0 999.0 99.0 99.00
2006 01 07 08 00 274  9.3 11.8 99.00 99.00 99.00 999 1012.4  11.0  11.9 999.0 99.0 99.00
2006 01 07 09 00 272 11.4 14.0 99.00 99.00 99.00 999 1011.5  11.7  12.1 999.0 99.0 99.00
2006 01 07 10 00 272 12.7 15.8 99.00 99.00 99.00 999 1010.5  11.8  12.1 999.0 99.0 99.00
2006 01 07 11 00 290 14.1 18.5 99.00 99.00 99.00 999 1010.8   9.6  12.1 999.0 99.0 99.00
2006 01 07 12 00 297 13.4 16.0 99.00 99.00 99.00 999 1011.1   9.0  12.1 999.0 99.0 99.00
2006 01 07 13 00 295 11.4 13.3 99.00 99.00 99.00 999 1010.8  10.2  12.1 999.0 99.0 99.00
2006 01 07 14 00 297 14.3 17.1 99.00 99.00 99.00 999 1011.4  11.3  12.2 999.0 99.0 99.00
2006 01 07 15 00 296 13.6 16.5 99.00 99.00 99.00 999 1012.4  11.0  12.2 999.0 99.0 99.00
2006 01 07 16 00 301 13.6 17.0 99.00 99.00 99.00 999 1013.1 999.0  12.2 999.0 99.0 99.00
2006 01 07 17 00 297 13.8 16.9 99.00 99.00 99.00 999 1013.9  11.3  12.2 999.0 99.0 99.00
2006 01 07 18 00 302 14.7 17.6 99.00 99.00 99.00 999 1015.2  11.3  12.2 999.0 99.0 99.00
2006 01 07 19 00 297 12.4 15.3 99.00 99.00 99.00 999 1016.4  10.8  12.2 999.0 99.0 99.00
2006 01 07 20 00 298 12.6 15.4 99.00 99.00 99.00 999 1016.8  11.4  12.2 999.0 99.0 99.00
2006 01 07 21 00 292 12.0 14.5 99.00 99.00 99.00 999 1017.1  11.3  12.2 999.0 99.0 99.00
2006 01 07 22 00 293 13.4 16.7 99.00 99.00 99.00 999 1017.3  11.4  12.2 999.0 99.0 99.00
2006 01 07 23 00 290 11.8 13.9 99.00 99.00 99.00 999 1017.8  11.4  12.1 999.0 99.0 99.00
2006 01 08 00 00 287 12.2 15.3 99.00 99.00 99.00 999 1018.5  11.4  12.1 999.0 99.0 99.00
2006 01 08 01 00 275 10.9 13.4 99.00 99.00 99.00 999 1019.0  11.3  12.1 999.0 99.0 99.00
2006 01 08 02 00 285 11.3 14.4 99.00 99.00 99.00 999 1019.5  11.3  12.1 999.0 99.0 99.00
2006 01 08 03 00 278  9.1 11.6 99.00 99.00 99.00 999 1020.0  11.4  12.1 999.0 99.0 99.00
2006 01 08 04 00 277  8.0 10.7 99.00 99.00 99.00 999 1020.5  11.3  12.2 999.0 99.0 99.00
2006 01 08 05 00 276  7.9  9.3 99.00 99.00 99.00 999 1021.0  11.7  12.2 999.0 99.0 99.00
2006 01 08 06 00 280  8.3  9.7 99.00 99.00 99.00 999 1021.3  11.8  12.2 999.0 99.0 99.00
2006 01 08 07 00 284  8.1 10.4 99.00 99.00 99.00 999 1022.1  11.8  12.1 999.0 99.0 99.00
2006 01 08 08 00 287  8.8 10.5 99.00 99.00 99.00 999 1022.4  11.9  12.1 999.0 99.0 99.00
2006 01 08 09 00 291  8.2  9.9 99.00 99.00 99.00 999 1022.2  12.0  12.1 999.0 99.0 99.00
2006 01 08 10 00 293  8.7 10.0 99.00 99.00 99.00 999 1021.8  12.1  12.1 999.0 99.0 99.00
2006 01 08 11 00 282  8.9 11.0 99.00 99.00 99.00 999 1021.5  12.0  12.1 999.0 99.0 99.00
2006 01 08 12 00 270  9.8 11.5 99.00 99.00 99.00 999 1021.6  12.1  12.1 999.0 99.0 99.00
2006 01 08 13 00 238  8.5 10.8 99.00 99.00 99.00 999 1021.1  12.1  12.0 999.0 99.0 99.00
2006 01 08 14 00 224  9.9 12.0 99.00 99.00 99.00 999 1020.8  12.2  12.0 999.0 99.0 99.00
2006 01 08 15 00 224  8.9 11.4 99.00 99.00 99.00 999 1020.7  12.6  11.9 999.0 99.0 99.00
2006 01 08 16 00 230  9.6 11.3 99.00 99.00 99.00 999 1020.9  12.6  11.8 999.0 99.0 99.00
2006 01 08 17 00 227 10.5 13.2 99.00 99.00 99.00 999 1020.8  12.6  11.9 999.0 99.0 99.00
2006 01 08 18 00 232  9.8 12.0 99.00 99.00 99.00 999 1021.1  12.6  12.1 999.0 99.0 99.00
2006 01 08 19 00 230  9.9 11.8 99.00 99.00 99.00 999 1020.0  12.8  12.1 999.0 99.0 99.00
2006 01 08 20 00 237 10.2 12.2 99.00 99.00 99.00 999 1020.3  12.9  11.8 999.0 99.0 99.00
2006 01 08 21 00 247 10.7 12.6 99.00 99.00 99.00 999 1019.0  12.9  11.8 999.0 99.0 99.00
2006 01 08 22 00 252 10.7 13.6 99.00 99.00 99.00 999 1018.7  12.9  11.8 999.0 99.0 99.00
2006 01 08 23 00 257 10.6 12.9 99.00 99.00 99.00 999 1018.4  12.9  12.0 999.0 99.0 99.00
2006 01 09 00 00 261 10.9 13.8 99.00 99.00 99.00 999 1018.3  12.9  12.1 999.0 99.0 99.00
2006 01 09 01 00 263 11.2 13.1 99.00 99.00 99.00 999 1017.7  12.8  12.1 999.0 99.0 99.00
2006 01 09 02 00 248 11.3 13.8 99.00 99.00 99.00 999 1017.3  12.9  12.0 999.0 99.0 99.00
2006 01 09 03 00 244 11.3 15.1 99.00 99.00 99.00 999 1017.1  12.9  11.8 999.0 99.0 99.00
2006 01 09 04 00 245 10.6 13.1 99.00 99.00 99.00 999 1017.1  12.8  11.7 999.0 99.0 99.00
2006 01 09 05 00 227 11.1 13.3 99.00 99.00 99.00 999 1016.5  12.8  11.7 999.0 99.0 99.00
2006 01 09 06 00 221 10.8 13.2 99.00 99.00 99.00 999 1016.4  12.8  11.5 999.0 99.0 99.00
2006 01 09 07 00 218 11.1 14.2 99.00 99.00 99.00 999 1016.2  12.8  11.5 999.0 99.0 99.00
2006 01 09 08 00 220 10.7 12.9 99.00 99.00 99.00 999 1015.7  12.9  11.5 999.0 99.0 99.00
2006 01 09 09 00 237 11.9 14.6 99.00 99.00 99.00 999 1014.9  12.9  11.5 999.0 99.0 99.00
2006 01 09 10 00 234 12.7 14.9 99.00 99.00 99.00 999 1014.3  12.9  11.6 999.0 99.0 99.00
2006 01 09 11 00 237 11.8 13.8 99.00 99.00 99.00 999 1014.4  12.8  11.7 999.0 99.0 99.00
2006 01 09 12 00 235 10.6 12.8 99.00 99.00 99.00 999 1014.2  12.8  11.7 999.0 99.0 99.00
2006 01 09 13 00 249  7.2 10.4 99.00 99.00 99.00 999 1013.9  12.6  11.7 999.0 99.0 99.00
2006 01 09 14 00 261  3.9  5.2 99.00 99.00 99.00 999 1014.6  11.7  11.7 999.0 99.0 99.00
2006 01 09 15 00 272  3.0  4.3 99.00 99.00 99.00 999 1014.5  11.7  11.6 999.0 99.0 99.00
2006 01 09 16 00 270  3.7  4.5 99.00 99.00 99.00 999 1014.3  11.8  11.7 999.0 99.0 99.00
2006 01 09 17 00 271  4.6  5.6 99.00 99.00 99.00 999 1014.7  12.1  11.7 999.0 99.0 99.00
2006 01 09 18 00 262  4.2  5.5 99.00 99.00 99.00 999 1014.9  12.1  11.7 999.0 99.0 99.00
2006 01 09 19 00 260  6.0  7.2 99.00 99.00 99.00 999 1014.6  12.5  11.7 999.0 99.0 99.00
2006 01 09 20 00 259 10.6 12.9 99.00 99.00 99.00 999 1013.6  12.8  11.7 999.0 99.0 99.00
2006 01 09 21 00 265 10.4 12.4 99.00 99.00 99.00 999 1012.8  12.8  11.7 999.0 99.0 99.00
2006 01 09 22 00 248 11.3 13.5 99.00 99.00 99.00 999 1011.6  13.3  11.5 999.0 99.0 99.00
2006 01 09 23 00 233 12.2 15.1 99.00 99.00 99.00 999 1010.3  13.4  11.5 999.0 99.0 99.00
2006 01 10 00 00 225 12.8 15.8 99.00 99.00 99.00 999 1009.7  13.0  11.5 999.0 99.0 99.00
2006 01 10 01 00 234 13.4 16.3 99.00 99.00 99.00 999 1009.1  12.9  11.7 999.0 99.0 99.00
2006 01 10 02 00 231 13.3 16.5 99.00 99.00 99.00 999 1008.9  12.9  11.7 999.0 99.0 99.00
2006 01 10 03 00 235 13.0 15.5 99.00 99.00 99.00 999 1008.7  12.9  11.7 999.0 99.0 99.00
2006 01 10 04 00 243 13.4 16.5 99.00 99.00 99.00 999 1008.7  13.3  11.7 999.0 99.0 99.00
2006 01 10 05 00 252 12.7 16.0 99.00 99.00 99.00 999 1007.8  13.0  11.7 999.0 99.0 99.00
2006 01 10 06 00 246 13.4 16.5 99.00 99.00 99.00 999 1007.5  13.3  11.7 999.0 99.0 99.00
2006 01 10 07 00 257 13.8 16.7 99.00 99.00 99.00 999 1009.0  13.3  11.7 999.0 99.0 99.00
2006 01 10 08 00 266 11.8 14.0 99.00 99.00 99.00 999 1009.5  12.8  11.7 999.0 99.0 99.00
2006 01 10 09 00 280 12.4 15.1 99.00 99.00 99.00 999 1009.2  12.6  11.7 999.0 99.0 99.00
2006 01 10 10 00 290 10.9 13.4 99.00 99.00 99.00 999 1009.6  12.6  11.7 999.0 99.0 99.00
2006 01 10 11 00  32  9.5 12.3 99.00 99.00 99.00 999 1010.3  12.6  11.7 999.0 99.0 99.00
2006 01 10 12 00 299  9.0 11.9 99.00 99.00 99.00 999 1010.8  12.6  11.7 999.0 99.0 99.00
2006 01 10 13 00 294  7.8  9.5 99.00 99.00 99.00 999 1010.3  12.5  11.7 999.0 99.0 99.00
2006 01 10 14 00 291  9.4 11.6 99.00 99.00 99.00 999 1010.2  12.6  11.7 999.0 99.0 99.00
